,observation_date,boxrsa,chxrsa,daxrsa,dexrsa,lxxrsa,nyxrsa,phxrsa,sexrsa,sfxrsa,emp_rate,unemp_rate,gdp,inflation
49,2023-02-01,304.200566746745,185.702922012189,286.766232020441,168.380953653072,396.048474822768,274.173757201418,312.98393783514,354.87656016525705,335.402201125334,71.7686,3.6,22448.76266666667,301.509
50,2023-03-01,303.91278295323997,187.461641957263,286.25964432828204,170.828310073318,397.258945183069,276.40364598268997,311.857757480793,352.761010459695,336.43604652438097,71.85548,3.5,22494.090333333334,301.744
51,2023-04-01,307.710085902058,188.87277537431999,286.88290560256,172.34559530323298,400.70907440925004,278.603351679013,311.56250825703,353.842890118757,338.658358955808,71.95334,3.4,22539.418,303.032
52,2023-05-01,310.067613565044,191.168622365684,288.77096902703,174.368007206564,403.800032742938,281.736134590221,311.386601800383,357.346043527162,340.683889290415,71.93625,3.7,22619.923000000003,303.365
53,2023-06-01,313.317508488996,192.480407831733,289.486746890966,174.971216951711,406.71756545829805,284.762725527859,313.04518301873503,361.776631538452,342.194821603189,71.98435,3.6,22700.428,304.003
54,2023-07-01,314.42894955149103,193.978221651291,290.89986676217,176.245218684148,411.17262243266197,287.107775074787,316.078452260442,367.538710585746,344.68158004780196,71.94329,3.5,22780.933,304.628
55,2023-08-01,317.840828017356,194.594522642779,292.06214642342604,178.078128712472,416.48344872048403,289.932105748154,317.968317145439,373.184680489782,347.556058966456,72.0929,3.8,22840.822,306.187
56,2023-09-01,321.102016732109,196.006206662384,294.19400301193804,180.235435180669,419.985959794241,292.651882484384,321.25913704017,376.19700505120005,351.00268533994796,72.0319,3.8,22900.711,307.288
57,2023-10-01,323.929449926391,197.48161723059,295.28008453374,182.438490250706,422.50849711585096,294.409418398214,324.93433937245203,377.64018295762804,352.775384050942,72.00269,3.8,22960.6,307.531
58,2023-11-01,324.93942809849096,198.347231141943,295.60688355148,182.629571922184,424.94330581157305,295.60976044021,326.577302764941,375.400336603768,350.36921707903804,72.10978,3.7,22991.581666666665,308.024
59,2023-12-01,325.471660378147,199.75826714709598,295.205250580182,182.88430432196,428.036250395776,296.536840040158,327.649429175506,377.09205031886904,351.3513771203,71.82658,3.7,23022.56333333333,308.742
60,2024-01-01,325.428749927618,200.154372589601,296.588756181406,183.08153143223598,428.61773481908796,296.95840766366797,327.077797446599,377.37907459698,352.500856240264,72.01635999999999,3.7,23053.545,309.685
61,2024-02-01,328.56935570222197,202.60933723742,297.019941946273,183.420851348285,430.587353027449,300.073108722644,328.435832282618,380.208113037348,353.154215200555,71.88336,3.9,23110.332,311.054
62,2024-03-01,330.179544459077,204.004619151474,296.766265721395,184.027237518504,432.392126202563,303.185931665155,327.425865032611,379.361826269979,353.219334791831,71.99364,3.8,23167.119,312.23
63,2024-04-01,332.231280103854,205.57872871797798,296.693947568641,184.709178231717,434.55449189905295,305.956709463269,326.57452769159,380.14482786612297,354.151009416364,72.01080999999999,3.9,23223.906,313.207
64,2024-05-01,332.42281449758997,205.770844259113,296.144484008922,186.299632628979,437.436246672726,308.904374171842,324.997887251441,382.21757006909303,355.460453902668,71.86066,4.0,23278.181666666667,313.225
65,2024-06-01,333.769806049813,206.20579893751702,295.967387425789,187.230040723693,439.757322522314,311.131292685166,324.34828014421004,385.679276887118,357.675675687181,71.80083,4.1,23332.457333333332,313.049
66,2024-07-01,334.540115655129,207.036536631735,296.223464742695,188.013741788241,440.347075785112,312.70536649920103,324.90896835541,389.293550984608,356.656879288154,71.79679,4.3,23386.733,313.534
67,2024-08-01,335.294871006106,208.63648033194698,296.636626790947,188.664159748246,440.61852665919196,313.744669489017,324.400323184203,392.51944636698096,357.66257061373904,71.73347,4.2,23386.733,314.121
68,2024-09-01,335.406132875718,209.60756528426498,297.392108248309,189.893558022514,439.668784539979,314.754074812214,327.077829480545,395.698658337,357.714219313079,71.87366,4.1,23386.733,314.686
69,2024-10-01,335.406132875718,209.60756528426498,297.392108248309,189.893558022514,439.668784539979,314.754074812214,327.077829480545,395.698658337,357.714219313079,71.70954,4.1,23386.733,315.454
